Repo_Forks, Repo_Stars, Repo_Watchers, Repo_Size, Repo_Issues, Repo_Subscribers, Author_Repos, Author_Gists, Author_Followers, Author_Following, Author_Type, Author_Company, Author_Days, Commit_Date_DOW, Commit_Date_HOD, Commit_Date_MOH, Commit Message, Number of Removed File, Number of Added Files, Number of Edited Files, Amount of edit bytes, Added content, Removed content,Malicious
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Mon,10,59,bump 9.15.4,0,0,1,48,"+  ""version"": ""9.15.4""<c><\n>","-  ""version"": ""9.15.3""<c><\n>",F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Mon,10,58,fix: Show correct switch text when both mode is time fix ant-design/ant-design#17625,0,0,2,599,+                    showTimePicker={showTimePicker || (mode[0] === 'time' && mode[1] === 'time')}<\n>+  it('render text correctly when range mode is both time'<c> () => {<\n>+    const RangeTimePicker = mount(<\n>+      <RangeCalendar<\n>+        mode={['time'<c> 'time']}<\n>+        timePicker={<\n>+          <TimePickerPanel<\n>+            defaultValue={[moment('00:00:00'<c> 'HH:mm:ss')<c> moment('23:59:59'<c> 'HH:mm:ss')]}<\n>+          /><\n>+        }<\n>+      /><c><\n>+    );<\n>+    expect(RangeTimePicker.find('.rc-calendar-time-picker-btn').text()).toBe('select date');<\n>+  });<\n>,-                    showTimePicker={showTimePicker}<\n>,F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Mon,16,21,:sparkles: 9.15.3,0,0,1,48,"+  ""version"": ""9.15.3""<c><\n>","-  ""version"": ""9.15.2""<c><\n>",F
434,1415,1415,29140,95,54,12,1,2,0,User,0,2393,Sun,16,18,fix example to open calendar on click (#583),0,0,1,648,"+  onFocus = () => {<\n>+    if (!this.state.open && this.state.isMouseDown) {<\n>+      // focus from a ""click"" event<c> let the picker trigger automatically open the calendar<\n>+      this.setState({<\n>+        isMouseDown: false<c><\n>+      });<\n>+    } else {<\n>+      // focus not caused by ""click"" (such as programmatic or via keyboard)<\n>+      this.setState({<\n>+        open: true<c><\n>+      });<\n>+    }<\n>+  }<\n>+  onMouseDown = () => {<\n>+      isMouseDown: true<c><\n>+                <span tabIndex=""0"" onMouseDown={this.onMouseDown} onFocus={this.onFocus}><\n>","-  onReadOnlyFocus = () => {<\n>-      open: true<c><\n>-                <span tabIndex=""0"" onFocus={this.onReadOnlyFocus}><\n>",F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Sat,12,58,month calendar compatible to react v15.x (#598),0,0,1,209,+import { polyfill } from 'react-lifecycles-compat';<\n>+export default polyfill(calendarMixinWrapper(commonMixinWrapper(MonthCalendar)));<\n>,-export default calendarMixinWrapper(commonMixinWrapper(MonthCalendar));<\n>,F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Thu,10,56,remove bootstrap dep,0,0,1,28,,"-    ""bootstrap"": ""~3.3.2""<c><\n>",F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Thu,10,55,:white_check_mark: update snapshots,0,0,1,1459,"+        aria-controls=""""<\n>+          unselectable=""on""<\n>+          <i<\n>+            class=""rc-select-arrow-icon""<\n>+          /><\n>+        aria-controls=""""<\n>+            title=""""<\n>+          unselectable=""on""<\n>+          <i<\n>+            class=""rc-select-arrow-icon""<\n>+          /><\n>+        aria-controls=""""<\n>+          unselectable=""on""<\n>+          <i<\n>+            class=""rc-select-arrow-icon""<\n>+          /><\n>+        aria-controls=""""<\n>+            title=""""<\n>+          unselectable=""on""<\n>+          <i<\n>+            class=""rc-select-arrow-icon""<\n>+          /><\n>+        aria-controls=""""<\n>+            title=""""<\n>+          unselectable=""on""<\n>+          <i<\n>+            class=""rc-select-arrow-icon""<\n>+          /><\n>+        aria-controls=""""<\n>+          unselectable=""on""<\n>+          <i<\n>+            class=""rc-select-arrow-icon""<\n>+          /><\n>+        aria-controls=""""<\n>+            title=""""<\n>+          unselectable=""on""<\n>+          <i<\n>+            class=""rc-select-arrow-icon""<\n>+          /><\n>","-          unselectable=""unselectable""<\n>-          <b /><\n>-            title=""2017""<\n>-          unselectable=""unselectable""<\n>-          <b /><\n>-          unselectable=""unselectable""<\n>-          <b /><\n>-            title=""2017""<\n>-          unselectable=""unselectable""<\n>-          <b /><\n>-            title=""2017""<\n>-          unselectable=""unselectable""<\n>-          <b /><\n>-          unselectable=""unselectable""<\n>-          <b /><\n>-            title=""2017""<\n>-          unselectable=""unselectable""<\n>-          <b /><\n>",F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Thu,10,53,Merge branch master of github.com:react-component/calendar * master of github.com:react-component/calendar: Update rc-select requirement from ^7.1.0 to ^9.1.5 (#593) Adding tests to improve code coverage (#428) Update dtslint requirement from ^0.6.1 to ^0.8.0 (#590) Update async requirement from ~2.5.0 to ~3.1.0 (#596),0,0,0,0,,,F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Thu,10,52,Update rc-select requirement from ^7.1.0 to ^9.1.5 (#593) Updates the requirements on [rc-select](https://github.com/react-component/select) to permit the latest version. - [Release notes](https://github.com/react-component/select/releases) - [Changelog](https://github.com/react-component/select/blob/master/HISTORY.md) - [Commits](https://github.com/react-component/select/compare/7.1.0...9.1.5) Signed-off-by: dependabot-preview[bot] <support@dependabot.com>,0,0,1,56,"+    ""rc-select"": ""^9.1.5""<c><\n>","-    ""rc-select"": ""^7.1.0""<c><\n>",F
434,1415,1415,29140,95,54,-1,-1,-1,-1,-1,-1,-1,Thu,4,52,Adding tests to improve code coverage (#428),0,0,1,213,+    let keyDownEvent = 0;<\n>+        onKeyDown={() => keyDownEvent = 1}<\n>+    // 09-10 right 09-03<\n>+    keySimulateCheck(keyCode.UP<c> 'Sep'<c> 3);<\n>+    keyDown(keyCode.BACKSLASH);<\n>+    expect(keyDownEvent).toEqual(1);<\n>,,F
